	acal.sp2	acal.sp4	acr.lob	allo.bre	allo.sp1	amm.sp1	ana.ine	ant.fri	ant.oed	ant.rub	ant.vig	antho.sp1	api.mel	arh.bif	ari.sp1	ase.mon	asi.sp1	asi.sp2	aud.sp	aug.sp	bab.elo	bib.sp1	bom.opi	bombil10	bombil11	bombil12	bombil14	bombil15	bombil16	bombil3	bombil5	bombil7	bombil8	bombil9	cae.sp1	cal.sp1	cam.mus	cam.pun	cen.bre	cen.lya	cen.var	cha.sp1	coc.mac	coc.sp1	coc.sp2	coe.chi	coe.jor	coe.sp6	col.ara	col.bic	col.bre	col.cog	col.lyc	com.ful	cop.ari	cop.sp2	cop.sp3	cos.chi	cra.sp1	dia.bar	dia.pat	dia.sp1	dih.sp1	emp.sp1	emp.sp2	epi.sp	eum.sp	exo.sp1	for.sp1	hir.sp1	hypa.sp1	ise.vac	ise.vip	lei.abd	lei.fri	lep.nig	lepid11	lepid12	lepid3	lepid4	lip.ino	lip.nig	lon.rob	lon.sp1	meg.A	meg.C	meg.cte	meg.pse2	mel.coc	mel.sp	mes.jen	muscid2	neu.sp1	nit.sp1	pir.com	pla.sp1	pol.cav	pompil2	psa.phi	psa.ruf	pse.sp	rub.nas	sar.sp1	sci.sp1	sph.sp2	sphecid1	str.eur	sva.bau	sva.bom	sva.zeb	syr.sp1	syr.sp2	syr.sp3	syr.sp5	syr.sp6	tac.sp1	tac.sp10	tac.sp15	tac.sp17	tac.sp5	tac.sp8	tachy.sp	tat.aut	tep.sp1	tep.sp2	thy.sp1	tox.sp1	tri.lat	tri.sp2	vill.sp1	wil.cha	xyl.aug	xyl.ord	xyl.spl	zet.sp1
pet.axi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phi.gil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
phr.pac	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pro.fle	0	0	0	0	4	26	0	0	0	0	0	0	33	0	0	0	0	0	8	30	13	0	27	14	12	0	0	0	0	0	0	0	7	7	3	0	24	14	33	0	0	6	0	0	0	0	0	0	0	1	8	16	8	17	34	18	0	25	0	0	0	0	26	0	0	0	0	21	1	18	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13	0	3	0	0	14	0	0	0	12	0	5	0	0	0	0	0	0	0	3	14	15	0	3	0	15	0	2	0	0	11	16	3	0	0	0	0	0	0	1	7	0	0	0	14	0	0	30	0	17
rut.cha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sal.gil	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	7	28	0	0	25	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	22	0	0	7	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	12	0	0	0	0	0	0	0	15	0	0	0	0	7	10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	28	14	0
sch.fas	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	19	5	4	0	8	5	0	0	0	0	8	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	14	0	0	0	0	0	0	0	0	0	0	0	19	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sen.aph	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6	0	0	36	0	0	30	0	0	0	0	0	0	12	0	0	0	0	7	0	27	19	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	26	0	27	0	0	0	7	33	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	20
sen.pin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spa.jun	0	0	2	0	0	0	0	0	0	0	0	0	34	0	0	7	6	0	10	29	0	0	25	0	0	0	0	0	0	0	0	3	0	0	0	0	25	0	28	0	0	0	0	0	3	0	0	0	0	0	0	0	0	22	32	25	0	19	0	0	0	5	27	0	0	0	0	23	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	12	14
sph.min	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
thy.pen	0	0	0	0	0	28	4	0	0	0	0	0	0	0	0	0	0	0	11	37	0	0	0	17	14	0	0	0	0	13	0	0	0	0	0	0	25	16	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	23	40	0	0	24	0	0	0	0	31	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	0
tri.can	0	0	0	0	0	0	0	0	2	0	0	0	20	14	0	4	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	9	0	0	0	0	0	0	4	3	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	12
ver.pol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
zuc.pun	0	0	0	0	7	32	4	4	0	8	0	2	40	0	0	0	0	0	10	37	13	0	32	0	0	0	0	0	0	0	0	0	9	9	6	1	28	17	39	5	0	0	0	0	0	0	3	0	11	0	9	18	9	0	39	24	0	27	0	0	7	0	33	0	0	2	0	0	0	19	3	4	0	5	0	0	6	0	0	1	0	0	7	0	23	16	14	0	0	0	19	0	0	0	15	0	7	0	6	0	13	0	0	0	0	16	21	0	0	9	19	0	0	0	0	0	18	0	0	0	0	0	0	0	0	6	0	14	0	0	7	0	34	16	20
